vierten	14
weltweit	17
zieht	13
überprüft	13
aussagen	13
betrieb	14
dank	23
ermittlungen	12
forderungen	12
gleichzeitig	23
hinweise	12
kollegen	12
minus	14
punkten	12
quelle	12
reaktion	12
tat	14
website	12
zugriff	12
aktiv	14
bekannte	12
bereit	13
beträgt	13
blieben	12
dpa-afx	12
ehemalige	12
einzelnen	12
entweder	13
geführt	12
gewann	12
gewonnen	12
gilt als	12
großer	15
hilft	12
hundert	13
in der nacht	12
italienischen	12
jährlich	12
lediglich	13
meinem	12
meinte	12
mitteilte	12
möglichst	12
nach oben	12
neun	12
rasch	12
sah	12
schweren	12
stellte	12
verantwortlich	14
verhindert	12
versuchen	14
weiteres	13
wichtiger	13
wobei	12
ziemlich	14
überraschend	13
anschläge	11
auftritt	12
ausbildung	11
aussage	11
bauern	11
beamten	11
bewertung	11
bürger	11
darüber hinaus	15
e-mail-adresse	11
eu-kommission	11
fc bayern	11
familien	11
gerüchte	11
immerhin	20
job	11
kanzlerin	11
leistungen	11
metern	11
nein	14
organisation	11
polen	11
real	12
sitzung	11
tiere	11
tipp	11
varoufakis	11
verhalten	15
vorgänger	11
zoo leipzig	11
amerikanischen	12
angeblich	14
begann	11
bisherigen	11
darunter	16
durchaus	11
eingesetzt	11
elf	12
empfehlen	14
entsprechend	13
extrem	11
forderte	12
genügend	11
gespielt	12
gestiegen	11
gewinnt	11
glaube	13
groß	14
großes	14
gutes	12
holte	11
höher	12
höheren	11
in höhe von	11
indem	11
inklusive	12
kaufen	14
kostenlos	12
kostet	11
laufen	12
möglichen	12
nicht einmal	11
notwendig	11
plötzlich	12
regelmäßig	11
schafft	11
schreibt	11
schön	14
sehr gut	11
setzte sich	11
sichern	11
sitzt	11
sodass	11
solcher	11
sprach	11
starke	12
syrischen	11
unklar	13
verbessern	11
verfolgt	11
verfügt	11
verhindern	12
vorerst	11
wollten	12
wählen	16
zahlreiche	12
zunehmend	11
anwalt	10
düsseldorf	10
figur	10
fortschritte	10
gbyte	10
größe	10
milliarde	10
möglichkeiten	10
nachfolger	10
papst	10
pegida	13
peking	10
plätze	10
rechte	12
schweden	10
show	11
soldaten	11
spuren	10
staffel	10
standort	10
stimmung	10
toten	14
ungarn	10
verband	11
veröffentlichung	10
wahlen	11
wahlkampf	10
werbung	10
alleine	11
ausgeschlossen	10
bekannten	10
beschäftigt	10
besondere	14
bestätigte	10
brachte	10
damaligen	10
diesmal	12
einzelne	11
entsprechende	10
entstanden	10
entstehen	10
erfahren	10
erfolgte	10
erklären	12
erleben	10
ermöglichen	10
ernst	12
erscheint	11
erstes	11
